0	3	NU	NLBL	B_CLS	B_SENT	N	-
198	ข้อ	NN	NCMN	I_CLS	I_SENT	N	-
199	สงสัย	VV	VACT	I_CLS	I_SENT	N	-
200	ว่า	CC	JSBR	I_CLS	I_SENT	N	-
201	_	PU	NCMN	I_CLS	I_SENT	N	-
202	เหตุ	NN	NCMN	I_CLS	I_SENT	N	-
203	ใด	AJ	DIAC	I_CLS	I_SENT	N	-
204	นาย	NN	NTTL	I_CLS	I_SENT	N	-
205	อำเภอ	NN	NPRP	I_CLS	I_SENT	N	-
206	_	PU	NCMN	I_CLS	I_SENT	N	-
207	ผอ.เขต	NN	NCMN	I_CLS	I_SENT	N	-
208	_	PU	NCMN	I_CLS	I_SENT	N	-
209	จึง	CC	XVBM	I_CLS	I_SENT	Contingency.Cause.Result	-
210	กล้า	VV	VACT	I_CLS	I_SENT	N	-
211	ลง	AV	XVAE	I_CLS	I_SENT	N	-
212	นาม	NN	NCMN	I_CLS	I_SENT	N	-
213	_	PU	NCMN	I_CLS	I_SENT	N	-
214	น่า	AX	DIAC	I_CLS	I_SENT	N	-
215	จะ	AX	XVBM	I_CLS	I_SENT	N	-
216	มี	VV	VSTA	I_CLS	I_SENT	N	-
217	คำ	NN	NCMN	I_CLS	I_SENT	N	-
218	ตอบ	VV	VACT	I_CLS	I_SENT	N	-
219	เพียง	AJ	DDBQ	I_CLS	I_SENT	N	-
220	_	PU	NCMN	I_CLS	I_SENT	N	-
221	2	NU	DCNM	I_CLS	I_SENT	N	-
222	_	PU	FIXN	I_CLS	I_SENT	N	-
223	อย่าง	NN	CNIT	I_CLS	I_SENT	N	-
224	_	PU	VATT	I_CLS	I_SENT	N	-
225	คือ	VV	VSTA	I_CLS	I_SENT	N	-
226	_	PU	NCMN	I_CLS	I_SENT	N	-
227	สมรู้ร่วม	NN	VACT	I_CLS	I_SENT	N	-
228	คิด	VV	VACT	I_CLS	I_SENT	N	-
229	ด้วย	AV	RPRE	E_CLS	I_SENT	N	-
230	_	PU	NCMN	O	I_SENT	N	-
231	หรือ	CC	JCRG	B_CLS	I_SENT	Expansion.Disjunction	-
232	มี	VV	VSTA	I_CLS	I_SENT	N	-
233	กลุ่ม	NN	NCMN	I_CLS	I_SENT	N	-
234	คน	NN	NCMN	E_CLS	I_SENT	N	-
235	ที่	CC	PREL	B_CLS	I_SENT	N	-
236	มี	VV	VSTA	I_CLS	I_SENT	N	-
237	อิทธิพล	NN	NCMN	I_CLS	I_SENT	N	-
238	เหนือ	VV	RPRE	I_CLS	I_SENT	N	-
239	กว่า	AV	JCMP	I_CLS	I_SENT	N	-
240	เข้า	AV	VACT	I_CLS	I_SENT	N	-
241	มา	AV	XVAE	I_CLS	I_SENT	N	-
242	บงการ	VV	VACT	I_CLS	I_SENT	N	-
243	_	PU	NCMN	I_CLS	I_SENT	N	-
244	น.อ.	NN	NCMN	I_CLS	I_SENT	N	-
245	อนุดิษฐ์	NN	NCMN	I_CLS	I_SENT	N	-
246	_	PU	NCMN	I_CLS	I_SENT	N	-
247	ระบุ	VV	VACT	E_CLS	I_SENT	N	-

248	ทั้งนี้	CC	ADVI	B_CLS	B_SENT	N	-
249	ฝ่าย	NN	NCMN	I_CLS	I_SENT	N	-
250	ค้าน	VV	NCMN	I_CLS	I_SENT	N	-
251	_	PU	NCMN	I_CLS	I_SENT	N	-
252	ได้	AX	XVAM	I_CLS	I_SENT	N	-
253	สรุป	VV	VACT	I_CLS	I_SENT	N	-
254	ว่า	CC	JSBR	E_CLS	I_SENT	N	-
255	_	PU	NCMN	O	I_SENT	N	-
256	โครงการ	NN	NCMN	B_CLS	I_SENT	N	-
257	นี้	AJ	DDAC	I_CLS	I_SENT	N	-
258	คือ	VV	VSTA	I_CLS	I_SENT	N	-
259	การ	FX	FIXN	I_CLS	I_SENT	N	-
260	ทำ	VV	VACT	E_CLS	I_SENT	N	-
261	โดย	CC	JSBR	B_CLS	I_SENT	N	-
262	รู้เห็น	VV	NCMN	I_CLS	I_SENT	N	-
263	ทั้ง	AJ	DDBQ	I_CLS	I_SENT	N	-
264	ระบบ	NN	NCMN	E_CLS	I_SENT	N	-
265	โดย	CC	JSBR	B_CLS	I_SENT	Expansion.GenExpansion	-
266	ใช้	VV	VACT	I_CLS	I_SENT	N	-
267	ชาวบ้าน	NN	NCMN	I_CLS	I_SENT	N	-
268	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
269	เครื่องมือ	NN	NCMN	I_CLS	I_SENT	N	-
270	_	PU	NCMN	I_CLS	I_SENT	N	-
271	สำหรับ	PS	RPRE	I_CLS	I_SENT	N	-
272	วงจร	NN	NCMN	I_CLS	I_SENT	N	-
273	อุบาทว์	NN	NCMN	I_CLS	I_SENT	N	-
274	นี้	AJ	DDAC	E_CLS	I_SENT	N	-
275	_	PU	NCMN	O	I_SENT	N	-
276	ถ้า	CC	JSBR	B_CLS	I_SENT	Contingency.Condition.Arg2-As-Cond	-
277	ดำเนินการ	VV	VACT	I_CLS	I_SENT	N	-
278	ลักษณะ	NN	NCMN	I_CLS	I_SENT	N	-
279	เดียว	NU	VSTA	I_CLS	I_SENT	N	-
280	กัน	PR	ADVN	I_CLS	I_SENT	N	-
281	ทั้ง	AJ	DDBQ	I_CLS	I_SENT	N	-
282	ประเทศ	NN	NCMN	I_CLS	I_SENT	N	-
283	_	PU	NCMN	I_CLS	I_SENT	N	-
284	มูลค่า	NN	NCMN	I_CLS	I_SENT	N	-
285	ความ	FX	FIXN	I_CLS	I_SENT	N	-
286	เสียหาย	VV	VSTA	I_CLS	I_SENT	N	-
287	จะ	AX	XVBM	I_CLS	I_SENT	N	-
288	ไม่	NG	NEG	I_CLS	I_SENT	N	-
289	ต่ำ	VV	VATT	I_CLS	I_SENT	N	-
290	กว่า	AJ	JCMP	I_CLS	I_SENT	N	-
291	_	PU	NCMN	I_CLS	I_SENT	N	-
292	3-4	NU	DCNM	I_CLS	I_SENT	N	-
293	_	PU	NCMN	I_CLS	I_SENT	N	-
294	พัน	NU	RPRE	I_CLS	I_SENT	N	-
295	ล้าน	NU	DCNM	I_CLS	I_SENT	N	-
296	บาท	CL	NCMN	E_CLS	I_SENT	N	-
297	_	PU	NCMN	O	I_SENT	N	-
298	และ	CC	JCRG	B_CLS	I_SENT	Expansion.Conjunction	-
299	ถ้า	CC	JSBR	I_CLS	I_SENT	Contingency.Condition.Arg2-As-Cond	-
300	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
301	ปล่อย	VV	VACT	E_CLS	I_SENT	N	-
302	ให้	CC	JSBR	B_CLS	I_SENT	N	-
303	โครงการ	NN	NCMN	I_CLS	I_SENT	N	-
304	นี้	AJ	DDAC	I_CLS	I_SENT	N	-
305	ดำเนิน	VV	VACT	I_CLS	I_SENT	N	-
306	ต่อไป	AV	ADVN	I_CLS	I_SENT	N	-
307	_	PU	NCMN	I_CLS	I_SENT	N	-
308	ความ	FX	FIXN	I_CLS	I_SENT	N	-
309	เสียหาย	VV	VSTA	I_CLS	I_SENT	N	-
310	จะ	AX	XVBM	I_CLS	I_SENT	N	-
311	มาก	VV	VATT	I_CLS	I_SENT	N	-
312	ถึง	PS	RPRE	I_CLS	I_SENT	N	-
313	หมื่น	NU	DCNM	I_CLS	I_SENT	N	-
314	ล้าน	NU	DCNM	I_CLS	I_SENT	N	-
315	บาท	CL	CMTR	I_CLS	I_SENT	N	-
316	แน่นอน	VV	VATT	E_CLS	I_SENT	N	-

317	ขณะ	CC	NCMN	B_CLS	B_SENT	N	-
318	ที่	CC	PREL	I_CLS	I_SENT	N	-
319	นาย	NN	NTTL	I_CLS	I_SENT	N	-
320	วรวัจน์	NN	NPRP	I_CLS	I_SENT	N	-
321	_	PU	NCMN	I_CLS	I_SENT	N	-
322	เอื้ออภิญญกุล	NN	NCMN	I_CLS	I_SENT	N	-
323	_	PU	NCMN	I_CLS	I_SENT	N	-
324	ส.ส.	NN	NCMN	I_CLS	I_SENT	N	-
325	แพร่	NN	VACT	I_CLS	I_SENT	N	-
326	_	PU	NCMN	I_CLS	I_SENT	N	-
327	พรรค	NN	NCMN	I_CLS	I_SENT	N	-
328	เพื่อ	CC	RPRE	I_CLS	I_SENT	N	-
329	ไทย	NN	NPRP	I_CLS	I_SENT	N	-
330	_	PU	NCMN	I_CLS	I_SENT	N	-
331	เปิดเผย	VV	VSTA	I_CLS	I_SENT	N	-
332	ด้วยว่า	AV	JSBR	B_CLS	I_SENT	N	-
333	ใน	NN	RPRE	I_CLS	I_SENT	N	-
334	ต่าง	AJ	NCMN	I_CLS	I_SENT	N	-
335	จังหวัด	NN	NCMN	I_CLS	I_SENT	N	-
336	นั้น	AJ	DDAC	I_CLS	I_SENT	N	-
337	_	PU	NCMN	I_CLS	I_SENT	N	-
338	มีการ	FX	NCMN	I_CLS	I_SENT	N	-
339	ใช้	VV	VACT	I_CLS	I_SENT	N	-
340	ข้าราชการ	NN	NCMN	I_CLS	I_SENT	N	-
341	ครู	NN	NCMN	I_CLS	I_SENT	N	-
342	ระดับ	NN	NCMN	I_CLS	I_SENT	N	-
343	_	PU	NCMN	I_CLS	I_SENT	N	-
344	8	NU	NCNM	I_CLS	I_SENT	N	-
345	_	PU	PUNC	I_CLS	I_SENT	N	-
346	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
347	เครื่องมือ	NN	NCMN	E_CLS	I_SENT	N	-
348	_	PU	NCMN	O	I_SENT	N	-
349	โดย	CC	JSBR	B_CLS	I_SENT	Expansion.GenExpansion	-
350	มี	VV	VSTA	I_CLS	I_SENT	N	-
351	เอกสาร	NN	NCMN	I_CLS	I_SENT	N	-
352	กำกับ	VV	VACT	E_CLS	I_SENT	N	-
353	ว่า	CC	JSBR	B_CLS	I_SENT	N	-
354	ชุมชน	NN	NCMN	I_CLS	I_SENT	N	-
355	ต้อง	AX	XVMM	I_CLS	I_SENT	N	-
356	ทำ	VV	VACT	I_CLS	I_SENT	N	-
357	อะไร	PR	PNTR	I_CLS	I_SENT	N	-
358	บ้าง	PR	ADVN	I_CLS	I_SENT	N	-
359	_	PU	NCMN	I_CLS	I_SENT	N	-
360	รวมทั้ง	VV	JCRG	B_CLS	I_SENT	Expansion.Conjunction	-
361	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
362	กำกับ	VV	VACT	I_CLS	I_SENT	N	-
363	ไว้	AX	XVAE	I_CLS	I_SENT	N	-
364	อย่าง	FX	FIXV	I_CLS	I_SENT	N	-
365	ชัดเจน	VV	VATT	E_CLS	I_SENT	N	-
366	ว่า	CC	JSBR	B_CLS	I_SENT	N	-
367	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
368	ไม่	NG	NEG	I_CLS	I_SENT	N	-
369	ต้อง	AX	XVMM	I_CLS	I_SENT	N	-
370	เปิด	VV	VACT	I_CLS	I_SENT	N	-
371	บัญชี	NN	NCMN	I_CLS	I_SENT	N	-
372	ธนาคาร	NN	NCMN	I_CLS	I_SENT	N	-
373	_	PU	NCMN	I_CLS	I_SENT	N	-
374	โดย	CC	RPRE	I_CLS	I_SENT	Expansion.GenExpansion	-
375	หน่วยงาน	NN	NCMN	I_CLS	I_SENT	N	-
376	ที่	CC	PREL	I_CLS	I_SENT	N	-
377	สังกัด	VV	VSTA	I_CLS	I_SENT	N	-
378	อยู่	AX	XVAE	I_CLS	I_SENT	N	-
379	นั้น	AJ	DDAC	I_CLS	I_SENT	N	-
380	จะ	AX	XVBM	I_CLS	I_SENT	N	-
381	ดำเนินการ	VV	VACT	I_CLS	I_SENT	N	-
382	ให้	CC	JSBR	I_CLS	I_SENT	N	-
383	ใน	PS	RPRE	I_CLS	I_SENT	N	-
384	วันที่	NN	NCMN	I_CLS	I_SENT	N	-
385	มีการ	FX	NCMN	I_CLS	I_SENT	N	-
386	โอน	NN	VACT	I_CLS	I_SENT	N	-
387	เงิน	NN	NCMN	I_CLS	I_SENT	N	-
388	_	PU	NCMN	I_CLS	I_SENT	N	-
389	และ	CC	JCRG	I_CLS	I_SENT	Expansion.Conjunction	-
390	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
391	บอก	VV	VACT	I_CLS	I_SENT	N	-
392	อีก	AV	ADVN	E_CLS	I_SENT	N	-
393	ว่า	CC	JSBR	B_CLS	I_SENT	N	-
394	เอกสาร	NN	NCMN	I_CLS	I_SENT	N	-
395	ทั้งหมด	AJ	DDAN	I_CLS	I_SENT	N	-
396	นั้น	AJ	DDAC	I_CLS	I_SENT	N	-
397	ยัง	AX	XVBM	I_CLS	I_SENT	N	-
398	ไม่	NG	NEG	I_CLS	I_SENT	N	-
399	ต้อง	AX	XVMM	I_CLS	I_SENT	N	-
400	ลง	VV	VACT	I_CLS	I_SENT	N	-
401	วันที่	NN	NCMN	I_CLS	I_SENT	N	-
402	_	PU	NCMN	I_CLS	I_SENT	N	-
403	เดือน	NN	NCMN	I_CLS	I_SENT	N	-
404	_	PU	NCMN	I_CLS	I_SENT	N	-
405	และ	CC	JCRG	I_CLS	I_SENT	N	-
406	_	PU	NCMN	I_CLS	I_SENT	N	-
407	พ.ศ.	NN	NCMN	E_CLS	I_SENT	N	-

408	เรื่อง	NN	NCMN	B_CLS	B_SENT	N	-
409	นี้	AJ	DDAC	I_CLS	I_SENT	N	-
410	ถือ	VV	VSTA	I_CLS	I_SENT	N	-
411	เป็น	VV	VSTA	I_CLS	I_SENT	N	-
412	จริยธรรม	NN	NCMN	I_CLS	I_SENT	N	-
413	ของ	PS	RPRE	I_CLS	I_SENT	N	-
414	นักการเมือง	NN	NCMN	E_CLS	I_SENT	N	-
415	_	PU	NCMN	O	I_SENT	N	-
416	ซึ่ง	CC	PREL	B_CLS	I_SENT	N	-
417	ฉาวโฉ่	VV	VATT	I_CLS	I_SENT	N	-
418	กว่า	VV	JCMP	I_CLS	I_SENT	N	-
419	กรณี	NN	NCMN	I_CLS	I_SENT	N	-
420	_	PU	NCMN	I_CLS	I_SENT	N	-
421	ส.ป.ก.	NN	NCMN	I_CLS	I_SENT	N	-
422	_	PU	NCMN	I_CLS	I_SENT	N	-
423	4-01	NU	NCMN	I_CLS	I_SENT	N	-
424	_	PU	NCMN	I_CLS	I_SENT	N	-
425	หากิน	VV	VACT	I_CLS	I_SENT	N	-
426	กับ	PS	RPRE	I_CLS	I_SENT	N	-
427	ผล	NN	NCMN	I_CLS	I_SENT	N	-
428	ประโยชน์	NN	NCMN	E_CLS	I_SENT	N	-
429	ที่	CC	PREL	B_CLS	I_SENT	N	-
430	จะ	AX	XVBM	I_CLS	I_SENT	N	-
431	ถึง	VV	RPRE	I_CLS	I_SENT	N	-
432	มือ	NN	NCMN	I_CLS	I_SENT	N	-
433	ของ	PS	RPRE	I_CLS	I_SENT	N	-
434	_	PU	NCMN	I_CLS	I_SENT	N	-
435	ประชาชน	NN	NCMN	I_CLS	I_SENT	N	-
436	ใน	PS	RPRE	I_CLS	I_SENT	N	-
437	ทุก	AJ	DIBQ	I_CLS	I_SENT	N	-
438	หมู่	CL	CNIT	I_CLS	I_SENT	N	-
439	บ้าน	NN	NCMN	I_CLS	I_SENT	N	-
440	_	PU	NCMN	I_CLS	I_SENT	N	-
441	ฮุบ	VV	VACT	I_CLS	I_SENT	N	-
442	เอา	VV	VACT	I_CLS	I_SENT	N	-
443	เม็ด	NN	NCMN	I_CLS	I_SENT	N	-
444	เงิน	NN	NCMN	I_CLS	I_SENT	N	-
